High	0.9899137322118794
Low	0.9903479621455934
Open	0.9849387683417186
Volume	-0.38018018771778955
HH	0.9595600778513435
LL	0.9568581639888953
AV	-0.39048548687452667
SMA	0.962958818738024
SD	0.6505110510755711
WILLR	0.020465376989007324
ATR	0.7355488250618959
DMH	0.05828424033925973
DML	0.09123589239234534
EMA	0.9690108746705032
WMA	0.9524599129096664
BBHIGH	0.9561127819016637
BBLOW	0.9533486467982172
PERBHIGH	-0.14811692137327204
PERBLOW	-0.14811692137327204
TRIMA	0.9435789711336315
RSI	0.04872145100661408
DX	-0.004605252910574778
PDI	0.012533701920630708
NDI	0.01237641201894316
ADX	-0.018005853415868467
ROC	0.07697742046840303
MACD	0.30759383765538834
CCI	0.032186942104894464
