date,global warming
2015-12-21,36
2015-12-22,41
2015-12-23,45
2015-12-24,55
2015-12-25,40
2015-12-26,46
2015-12-27,45
2015-12-28,49
2015-12-29,46
2015-12-30,41
2015-12-31,37
2016-01-01,29
2016-01-02,43
2016-01-03,40
2016-01-04,51
2016-01-05,46
2016-01-06,46
2016-01-07,57
2016-01-08,43
2016-01-09,30
2016-01-10,44
2016-01-11,47
2016-01-12,62
2016-01-13,56
2016-01-14,57
2016-01-15,50
2016-01-16,31
2016-01-17,49
2016-01-18,59
2016-01-19,49
2016-01-20,55
2016-01-21,67
2016-01-22,49
2016-01-23,35
2016-01-24,35
2016-01-25,54
2016-01-26,56
2016-01-27,61
2016-01-28,50
2016-01-29,48
2016-01-30,37
2016-01-31,36
2016-02-01,55
2016-02-02,68
2016-02-03,67
2016-02-04,52
2016-02-05,53
2016-02-06,42
2016-02-07,41
2016-02-08,48
2016-02-09,63
2016-02-10,54
2016-02-11,52
2016-02-12,50
2016-02-13,29
2016-02-14,39
2016-02-15,44
2016-02-16,51
2016-02-17,59
2016-02-18,63
2016-02-19,46
2016-02-20,33
2016-02-21,45
2016-02-22,53
2016-02-23,59
2016-02-24,56
2016-02-25,51
2016-02-26,55
2016-02-27,31
2016-02-28,39
2016-02-29,80
2016-03-01,69
2016-03-02,77
2016-03-03,62
2016-03-04,51
2016-03-05,37
2016-03-06,42
2016-03-07,59
2016-03-08,58
2016-03-09,57
2016-03-10,60
2016-03-11,59
2016-03-12,38
2016-03-13,40
2016-03-14,69
2016-03-15,74
2016-03-16,65
2016-03-17,63
2016-03-18,43
2016-03-19,34
2016-03-20,45
2016-03-21,41
2016-03-22,49
2016-03-23,42
2016-03-24,44
2016-03-25,28
2016-03-26,26
2016-03-27,33
2016-03-28,43
2016-03-29,48
2016-03-30,57
2016-03-31,51
2016-04-01,45
2016-04-02,23
2016-04-03,42
2016-04-04,53
2016-04-05,58
2016-04-06,55
2016-04-07,56
2016-04-08,43
2016-04-09,34
2016-04-10,40
2016-04-11,52
2016-04-12,51
2016-04-13,55
2016-04-14,51
2016-04-15,50
2016-04-16,33
2016-04-17,43
2016-04-18,56
2016-04-19,62
2016-04-20,65
2016-04-21,56
2016-04-22,70
2016-04-23,39
2016-04-24,53
2016-04-25,67
2016-04-26,62
2016-04-27,61
2016-04-28,64
2016-04-29,51
2016-04-30,27
2016-05-01,40
2016-05-02,70
2016-05-03,63
2016-05-04,55
2016-05-05,64
2016-05-06,52
2016-05-07,31
2016-05-08,42
2016-05-09,59
2016-05-10,63
2016-05-11,58
2016-05-12,56
2016-05-13,56
2016-05-14,29
2016-05-15,53
2016-05-16,65
2016-05-17,60
2016-05-18,66
2016-05-19,53
2016-05-20,48
2016-05-21,33
2016-05-22,41
2016-05-23,51
2016-05-24,58
2016-05-25,55
2016-05-26,57
2016-05-27,38
2016-05-28,28
2016-05-29,44
2016-05-30,38
2016-05-31,48
2016-06-01,52
2016-06-02,51
2016-06-03,37
2016-06-04,35
2016-06-05,44
2016-06-06,47
2016-06-07,43
2016-06-08,43
2016-06-09,35
2016-06-10,36
2016-06-11,29
2016-06-12,30
2016-06-13,43
2016-06-14,42
2016-06-15,33
2016-06-16,32
2016-06-17,23
2016-06-18,32
2016-06-19,27
2016-06-20,43
2016-06-21,36
2016-06-22,34
2016-06-23,37
2016-06-24,37
2016-06-25,30
2016-06-26,39
2016-06-27,37
2016-06-28,40
2016-06-29,32
2016-06-30,33
2016-07-01,31
2016-07-02,23
2016-07-03,35
2016-07-04,31
2016-07-05,28
2016-07-06,23
2016-07-07,27
2016-07-08,24
2016-07-09,24
2016-07-10,32
2016-07-11,28
2016-07-12,33
2016-07-13,24
2016-07-14,29
2016-07-15,24
2016-07-16,19
2016-07-17,29
2016-07-18,26
2016-07-19,33
2016-07-20,39
2016-07-21,30
2016-07-22,31
2016-07-23,21
2016-07-24,31
2016-07-25,34
2016-07-26,33
2016-07-27,43
2016-07-28,36
2016-07-29,29
2016-07-30,24
2016-07-31,34
2016-08-01,26
2016-08-02,33
2016-08-03,24
2016-08-04,29
2016-08-05,26
2016-08-06,41
2016-08-07,38
2016-08-08,37
2016-08-09,33
2016-08-10,33
2016-08-11,30
2016-08-12,29
2016-08-13,22
2016-08-14,26
2016-08-15,26
2016-08-16,35
2016-08-17,30
2016-08-18,35
2016-08-19,26
2016-08-20,28
2016-08-21,31
2016-08-22,31
2016-08-23,34
2016-08-24,32
2016-08-25,45
2016-08-26,32
2016-08-27,22
2016-08-28,35
2016-08-29,35
2016-08-30,36
2016-08-31,37
2016-09-01,29
2016-09-02,35
2016-09-03,33
2016-09-04,33
2016-09-05,34
2016-09-06,44
2016-09-07,39
2016-09-08,53
2016-09-09,33
2016-09-10,22
2016-09-11,22
2016-09-12,44
2016-09-13,45
2016-09-14,47
2016-09-15,44
2016-09-16,37
2016-09-17,37
2016-09-18,33
2016-09-19,37
2016-09-20,37
2016-09-21,51
2016-09-22,47
2016-09-23,39
2016-09-24,23
2016-09-25,45
2016-09-26,51
2016-09-27,67
2016-09-28,56
2016-09-29,48
2016-09-30,42
2016-10-01,31
2016-10-02,41
2016-10-03,49
2016-10-04,50
2016-10-05,58
2016-10-06,50
2016-10-07,38
2016-10-08,42
2016-10-09,35
2016-10-10,38
2016-10-11,49
2016-10-12,45
2016-10-13,47
2016-10-14,40
2016-10-15,35
2016-10-16,56
2016-10-17,44
2016-10-18,45
2016-10-19,56
2016-10-20,54
2016-10-21,45
2016-10-22,33
2016-10-23,40
2016-10-24,58
2016-10-25,57
2016-10-26,58
2016-10-27,47
2016-10-28,33
2016-10-29,36
2016-10-30,41
2016-10-31,56
2016-11-01,55
2016-11-02,48
2016-11-03,61
2016-11-04,71
2016-11-05,38
2016-11-06,57
2016-11-07,59
2016-11-08,66
2016-11-09,83
2016-11-10,100
2016-11-11,64
2016-11-12,45
2016-11-13,53
2016-11-14,72
2016-11-15,80
2016-11-16,78
2016-11-17,81
2016-11-18,66
2016-11-19,41
2016-11-20,51
2016-11-21,67
2016-11-22,69
2016-11-23,59
2016-11-24,49
2016-11-25,45
2016-11-26,38
2016-11-27,43
2016-11-28,62
2016-11-29,76
2016-11-30,70
2016-12-01,70
2016-12-02,67
2016-12-03,36
2016-12-04,47
2016-12-05,61
2016-12-06,63
2016-12-07,70
2016-12-08,74
2016-12-09,59
2016-12-10,39
2016-12-11,54
2016-12-12,56
2016-12-13,67
2016-12-14,57
2016-12-15,58
2016-12-16,38
2016-12-17,26
2016-12-18,36
2016-12-19,47
2016-12-20,46
2016-12-21,37
2016-12-22,33
2016-12-23,32
2016-12-24,23
2016-12-25,27
2016-12-26,41
2016-12-27,36
2016-12-28,36
2016-12-29,27
2016-12-30,27
2016-12-31,26
2017-01-01,20
2017-01-02,29
2017-01-03,40
2017-01-04,34
2017-01-05,37
2017-01-06,38
2017-01-07,24
2017-01-08,38
2017-01-09,42
2017-01-10,40
2017-01-11,41
2017-01-12,43
2017-01-13,33
2017-01-14,31
2017-01-15,34
2017-01-16,37
2017-01-17,31
2017-01-18,56
2017-01-19,62
2017-01-20,45
2017-01-21,37
2017-01-22,41
2017-01-23,49
2017-01-24,50
2017-01-25,55
2017-01-26,54
2017-01-27,48
2017-01-28,23
2017-01-29,30
2017-01-30,44
2017-01-31,46
2017-02-01,38
2017-02-02,51
2017-02-03,44
2017-02-04,25
2017-02-05,41
2017-02-06,43
2017-02-07,53
2017-02-08,57
2017-02-09,48
2017-02-10,38
2017-02-11,18
2017-02-12,41
2017-02-13,47
2017-02-14,47
2017-02-15,47
2017-02-16,48
2017-02-17,41
2017-02-18,31
2017-02-19,47
2017-02-20,43
2017-02-21,49
2017-02-22,52
2017-02-23,43
2017-02-24,42
2017-02-25,34
2017-02-26,37
2017-02-27,51
2017-02-28,48
2017-03-01,50
2017-03-02,46
2017-03-03,36
2017-03-04,25
2017-03-05,35
2017-03-06,46
2017-03-07,51
2017-03-08,43
2017-03-09,52
2017-03-10,47
2017-03-11,29
2017-03-12,29
2017-03-13,46
2017-03-14,43
2017-03-15,40
2017-03-16,41
2017-03-17,32
2017-03-18,24
2017-03-19,26
2017-03-20,45
2017-03-21,46
2017-03-22,44
2017-03-23,49
2017-03-24,39
2017-03-25,19
2017-03-26,29
2017-03-27,46
2017-03-28,42
2017-03-29,52
2017-03-30,42
2017-03-31,35
