date,oil
2015-12-22,75
2015-12-23,74
2015-12-24,65
2015-12-25,56
2015-12-26,63
2015-12-27,66
2015-12-28,72
2015-12-29,78
2015-12-30,76
2015-12-31,74
2016-01-01,62
2016-01-02,70
2016-01-03,73
2016-01-04,85
2016-01-05,81
2016-01-06,82
2016-01-07,85
2016-01-08,78
2016-01-09,73
2016-01-10,70
2016-01-11,82
2016-01-12,87
2016-01-13,89
2016-01-14,83
2016-01-15,85
2016-01-16,82
2016-01-17,79
2016-01-18,92
2016-01-19,92
2016-01-20,100
2016-01-21,97
2016-01-22,90
2016-01-23,78
2016-01-24,80
2016-01-25,86
2016-01-26,86
2016-01-27,84
2016-01-28,88
2016-01-29,82
2016-01-30,78
2016-01-31,79
2016-02-01,85
2016-02-02,83
2016-02-03,83
2016-02-04,88
2016-02-05,82
2016-02-06,78
2016-02-07,75
2016-02-08,80
2016-02-09,82
2016-02-10,82
2016-02-11,87
2016-02-12,83
2016-02-13,74
2016-02-14,72
2016-02-15,82
2016-02-16,87
2016-02-17,85
2016-02-18,85
2016-02-19,82
2016-02-20,75
2016-02-21,75
2016-02-22,83
2016-02-23,83
2016-02-24,86
2016-02-25,79
2016-02-26,79
2016-02-27,77
2016-02-28,73
2016-02-29,79
2016-03-01,81
2016-03-02,81
2016-03-03,82
2016-03-04,79
2016-03-05,75
2016-03-06,72
2016-03-07,85
2016-03-08,84
2016-03-09,81
2016-03-10,79
2016-03-11,84
2016-03-12,76
2016-03-13,77
2016-03-14,82
2016-03-15,80
2016-03-16,75
2016-03-17,78
2016-03-18,76
2016-03-19,71
2016-03-20,74
2016-03-21,81
2016-03-22,76
2016-03-23,77
2016-03-24,76
2016-03-25,74
2016-03-26,75
2016-03-27,65
2016-03-28,77
2016-03-29,75
2016-03-30,77
2016-03-31,74
2016-04-01,74
2016-04-02,72
2016-04-03,76
2016-04-04,80
2016-04-05,83
2016-04-06,76
2016-04-07,75
2016-04-08,77
2016-04-09,74
2016-04-10,75
2016-04-11,82
2016-04-12,78
2016-04-13,82
2016-04-14,76
2016-04-15,76
2016-04-16,76
2016-04-17,80
2016-04-18,85
2016-04-19,80
2016-04-20,79
2016-04-21,80
2016-04-22,80
2016-04-23,73
2016-04-24,72
2016-04-25,80
2016-04-26,76
2016-04-27,76
2016-04-28,76
2016-04-29,76
2016-04-30,75
2016-05-01,84
2016-05-02,93
2016-05-03,92
2016-05-04,90
2016-05-05,91
2016-05-06,89
2016-05-07,86
2016-05-08,79
2016-05-09,90
2016-05-10,90
2016-05-11,89
2016-05-12,90
