date,greenhouse gas
2016-01-02,3.0
2016-01-03,2.0
2016-01-04,3.0
2016-01-05,3.0
2016-01-06,7.0
2016-01-07,4.0
2016-01-08,6.0
2016-01-09,4.0
2016-01-10,3.0
2016-01-11,5.0
2016-01-12,10.0
2016-01-13,7.0
2016-01-14,4.0
2016-01-15,5.0
2016-01-16,2.0
2016-01-17,3.0
2016-01-18,3.0
2016-01-19,6.0
2016-01-20,13.0
2016-01-21,6.0
2016-01-22,6.0
2016-01-23,4.0
2016-01-24,5.0
2016-01-25,4.0
2016-01-26,7.0
2016-01-27,6.0
2016-01-28,9.0
2016-01-29,9.0
2016-01-30,2.0
2016-01-31,5.0
2016-02-01,7.0
2016-02-02,6.0
2016-02-03,11.0
2016-02-04,7.0
2016-02-05,6.0
2016-02-06,1.0
2016-02-07,7.0
2016-02-08,6.0
2016-02-09,10.0
2016-02-10,9.0
2016-02-11,4.0
2016-02-12,4.0
2016-02-13,6.0
2016-02-14,5.0
2016-02-15,5.0
2016-02-16,8.0
2016-02-17,9.0
2016-02-18,9.0
2016-02-19,10.0
2016-02-20,2.0
2016-02-21,2.0
2016-02-22,8.0
2016-02-23,9.0
2016-02-24,9.0
2016-02-25,8.0
2016-02-26,9.0
2016-02-27,4.0
2016-02-28,7.0
2016-02-29,9.0
2016-03-01,8.0
2016-03-02,10.0
2016-03-03,11.0
2016-03-04,9.0
2016-03-05,2.0
2016-03-06,7.0
2016-03-07,10.0
2016-03-08,10.0
2016-03-09,8.0
2016-03-10,6.0
2016-03-11,5.0
2016-03-12,2.0
2016-03-13,5.0
2016-03-14,11.0
2016-03-15,10.0
2016-04-23,14.0
2016-04-24,19.0
2016-04-25,42.0
2016-04-26,23.0
2016-04-27,31.0
2016-04-28,45.0
2016-04-29,20.0
2016-04-30,11.0
2016-05-01,20.0
2016-05-02,53.0
2016-05-03,56.0
2016-05-04,36.0
2016-05-05,30.0
2016-05-06,25.0
2016-05-07,14.0
2016-05-08,14.0
2016-05-09,41.0
2016-05-10,33.0
2016-05-11,31.0
2016-05-12,38.0
2016-05-13,35.0
2016-05-14,14.0
2016-05-15,33.0
2016-05-16,35.0
2016-05-17,30.0
2016-05-18,28.0
2016-05-19,41.0
2016-05-20,33.0
2016-05-21,8.0
2016-05-22,25.0
2016-05-23,30.0
2016-05-24,38.0
2016-05-25,32.0
2016-05-26,32.0
2016-05-27,17.0
2016-05-28,8.0
2016-05-29,25.0
2016-05-30,40.0
2016-05-31,26.0
2016-06-01,24.0
2016-06-02,34.0
2016-06-03,20.0
2016-06-04,11.0
2016-06-05,8.0
2016-06-06,19.0
2016-06-07,17.0
2016-06-08,31.0
2016-06-09,22.0
2016-06-10,12.0
2016-06-11,6.0
2016-06-12,16.0
2016-06-13,21.0
2016-06-14,31.0
2016-06-15,33.0
2016-06-16,19.0
2016-06-17,23.0
2016-06-18,3.0
2016-06-19,20.0
2016-06-20,14.0
2016-06-21,7.0
2016-06-22,15.0
2016-06-23,23.0
2016-06-24,18.0
2016-06-25,8.0
2016-06-26,23.0
2016-06-27,33.0
2016-06-28,20.0
2016-06-29,12.0
2016-06-30,20.0
2016-07-01,5.0
2016-07-02,0.0
2016-07-03,8.0
2016-07-04,13.0
2016-07-05,25.0
2016-07-06,8.0
2016-07-07,10.0
2016-07-08,8.0
2016-07-09,6.0
2016-07-10,9.0
2016-07-11,17.0
2016-07-12,12.0
2016-07-13,10.0
2016-07-14,15.0
2016-07-15,16.0
2016-07-16,17.0
2016-07-17,3.0
2016-07-18,10.0
2016-07-19,5.0
2016-07-20,8.0
2016-07-21,23.0
2016-07-22,16.0
2016-07-23,6.0
2016-07-24,15.0
2016-07-25,7.0
2016-07-26,15.0
2016-07-27,10.0
2016-07-28,20.0
2016-07-29,5.0
2016-07-30,18.0
2016-07-31,15.0
2016-08-01,20.0
2016-08-02,10.0
2016-08-03,8.0
2016-08-04,18.0
2016-08-05,16.0
2016-08-06,6.0
2016-08-07,12.0
2016-08-08,21.0
2016-08-09,5.0
2016-08-10,24.0
2016-08-11,30.0
2016-08-12,14.0
2016-08-13,6.0
2016-08-14,3.0
2016-08-15,28.0
2016-08-16,11.0
2016-08-17,3.0
2016-08-18,16.0
2016-08-19,19.0
2016-08-20,9.0
2016-08-21,6.0
2016-08-22,21.0
2016-08-23,8.0
2016-08-24,26.0
2016-08-25,10.0
2016-08-26,13.0
2016-08-27,15.0
2016-08-28,12.0
2016-08-29,12.0
2016-08-30,12.0
2016-08-31,20.0
2016-09-01,15.0
2016-09-02,23.0
2016-09-03,12.0
2016-09-04,14.0
2016-09-05,10.0
2016-09-06,10.0
2016-09-07,23.0
2016-09-08,30.0
2016-09-09,26.0
2016-09-10,20.0
2016-09-11,17.0
2016-09-12,28.0
2016-09-13,20.0
2016-09-14,32.0
2016-09-15,22.0
2016-09-16,20.0
2016-09-17,17.0
2016-09-18,19.0
2016-09-19,24.0
2016-09-20,24.0
2016-09-21,17.0
2016-09-22,23.0
2016-09-23,15.0
2016-09-24,14.0
2016-09-25,20.0
2016-09-26,24.0
2016-09-27,33.0
2016-09-28,17.0
2016-09-29,17.0
2016-09-30,25.0
2016-10-01,11.0
2016-11-09,22.0
2016-11-10,16.0
2016-11-11,12.0
2016-11-12,18.0
2016-11-13,14.0
2016-11-14,34.0
