date,renewable
2015-12-21,45
2015-12-22,40
2015-12-23,39
2015-12-24,40
2015-12-25,19
2015-12-26,23
2015-12-27,32
2015-12-28,32
2015-12-29,36
2015-12-30,44
2015-12-31,19
2016-01-01,31
2016-01-02,39
2016-01-03,40
2016-01-04,64
2016-01-05,58
2016-01-06,64
2016-01-07,74
2016-01-08,66
2016-01-09,32
2016-01-10,48
2016-01-11,77
2016-01-12,82
2016-01-13,70
2016-01-14,80
2016-01-15,59
2016-01-16,40
2016-01-17,49
2016-01-18,68
2016-01-19,87
2016-01-20,85
2016-01-21,88
2016-01-22,63
2016-01-23,37
2016-01-24,54
2016-01-25,75
2016-01-26,93
2016-01-27,85
2016-01-28,82
2016-01-29,69
2016-01-30,43
2016-01-31,38
2016-02-01,78
2016-02-02,84
2016-02-03,79
2016-02-04,78
2016-02-05,65
2016-02-06,37
2016-02-07,46
2016-02-08,87
2016-02-09,99
2016-02-10,91
2016-02-11,78
2016-02-12,61
2016-02-13,32
2016-02-14,51
2016-02-15,65
2016-02-16,77
2016-02-17,88
2016-02-18,70
2016-02-19,61
2016-02-20,49
2016-02-21,42
2016-02-22,99
2016-02-23,83
2016-02-24,74
2016-02-25,68
2016-02-26,57
2016-02-27,44
2016-02-28,52
2016-02-29,65
2016-03-01,88
2016-03-02,74
2016-03-03,64
2016-03-04,75
2016-03-05,34
2016-03-06,39
2016-03-07,84
2016-03-08,83
2016-03-09,91
2016-03-10,79
2016-03-11,82
2016-03-12,43
2016-03-13,52
2016-03-14,72
2016-03-15,93
2016-03-16,83
2016-03-17,74
2016-03-18,54
2016-03-19,32
2016-03-20,54
2016-03-21,89
2016-03-22,78
2016-03-23,62
2016-03-24,52
2016-03-25,38
2016-03-26,32
2016-03-27,43
2016-03-28,55
2016-03-29,66
2016-03-30,72
2016-03-31,73
2016-04-01,63
2016-04-02,42
2016-04-03,40
2016-04-04,74
2016-04-05,76
2016-04-06,95
2016-04-07,77
2016-04-08,71
2016-04-09,43
2016-04-10,48
2016-04-11,78
2016-04-12,77
2016-04-13,85
2016-04-14,90
2016-04-15,76
2016-04-16,41
2016-04-17,38
2016-04-18,87
2016-04-19,78
2016-04-20,100
2016-04-21,84
2016-04-22,71
2016-04-23,48
2016-04-24,54
2016-04-25,93
2016-04-26,95
2016-04-27,97
2016-04-28,89
2016-04-29,69
2016-04-30,37
2016-05-01,41
2016-05-02,57
2016-05-03,69
2016-05-04,72
2016-05-05,69
2016-05-06,49
2016-05-07,30
2016-05-08,39
2016-05-09,77
2016-05-10,77
2016-05-11,75
2016-05-12,65
2016-05-13,55
2016-05-14,31
2016-05-15,43
2016-05-16,70
2016-05-17,74
2016-05-18,75
2016-05-19,70
2016-05-20,64
2016-05-21,30
2016-05-22,32
2016-05-23,71
2016-05-24,70
2016-05-25,66
2016-05-26,60
2016-05-27,45
2016-05-28,25
2016-05-29,25
2016-05-30,48
2016-05-31,60
2016-06-01,55
2016-06-02,61
2016-06-03,49
2016-06-04,30
2016-06-05,38
2016-06-06,63
2016-06-07,74
2016-06-08,61
2016-06-09,42
2016-06-10,38
2016-06-11,26
2016-06-12,34
2016-06-13,48
2016-06-14,46
2016-06-15,48
2016-06-16,54
2016-06-17,46
2016-06-18,24
2016-06-19,38
2016-06-20,46
2016-06-21,48
2016-06-22,43
2016-06-23,48
2016-06-24,43
2016-06-25,22
2016-06-26,35
2016-06-27,43
2016-06-28,52
2016-06-29,46
2016-06-30,34
2016-07-01,41
2016-07-02,34
2016-07-03,17
2016-07-04,33
2016-07-05,41
2016-07-06,35
2016-07-07,47
2016-07-08,33
2016-07-09,23
2016-07-10,16
2016-07-11,37
2016-07-12,41
2016-07-13,35
2016-07-14,46
2016-07-15,39
2016-07-16,20
2016-07-17,31
2016-07-18,43
2016-07-19,36
2016-07-20,40
2016-07-21,44
2016-07-22,42
2016-07-23,26
2016-07-24,28
2016-07-25,40
2016-07-26,33
2016-07-27,37
2016-07-28,41
2016-07-29,39
2016-07-30,22
2016-07-31,25
2016-08-01,41
2016-08-02,46
2016-08-03,40
2016-08-04,44
2016-08-05,39
2016-08-06,27
2016-08-07,26
2016-08-08,44
2016-08-09,46
2016-08-10,47
2016-08-11,39
2016-08-12,31
2016-08-13,30
2016-08-14,25
2016-08-15,39
2016-08-16,41
2016-08-17,41
2016-08-18,44
2016-08-19,34
2016-08-20,23
2016-08-21,31
2016-08-22,39
2016-08-23,48
2016-08-24,47
2016-08-25,49
2016-08-26,44
2016-08-27,18
2016-08-28,26
2016-08-29,50
2016-08-30,49
2016-08-31,47
2016-09-01,47
2016-09-02,42
2016-09-03,24
2016-09-04,24
2016-09-05,41
2016-09-06,52
2016-09-07,59
2016-09-08,46
2016-09-09,48
2016-09-10,23
2016-09-11,37
2016-09-12,60
2016-09-13,57
2016-09-14,59
2016-09-15,61
2016-09-16,61
2016-09-17,28
2016-09-18,34
2016-09-19,50
2016-09-20,62
2016-09-21,59
2016-09-22,60
2016-09-23,48
2016-09-24,32
2016-09-25,28
2016-09-26,69
2016-09-27,75
2016-09-28,67
2016-09-29,66
2016-09-30,45
2016-10-01,28
2016-10-02,29
2016-10-03,66
2016-10-04,57
2016-10-05,62
2016-10-06,60
2016-10-07,52
2016-10-08,24
2016-10-09,29
2016-10-10,56
2016-10-11,65
2016-10-12,73
2016-10-13,60
2016-10-14,47
2016-10-15,32
2016-10-16,38
2016-10-17,55
2016-10-18,53
2016-10-19,58
2016-10-20,59
2016-10-21,50
2016-10-22,23
2016-10-23,39
2016-10-24,69
2016-10-25,60
2016-10-26,66
2016-10-27,66
2016-10-28,43
2016-10-29,30
2016-10-30,32
2016-10-31,60
2016-11-01,61
2016-11-02,65
2016-11-03,76
2016-11-04,52
2016-11-05,38
2016-11-06,44
2016-11-07,62
2016-11-08,73
2016-11-09,79
2016-11-10,73
2016-11-11,48
2016-11-12,33
2016-11-13,40
2016-11-14,83
2016-11-15,100
2016-11-16,89
2016-11-17,73
2016-11-18,66
2016-11-19,27
2016-11-20,46
2016-11-21,70
2016-11-22,65
2016-11-23,59
2016-11-24,47
2016-11-25,42
2016-11-26,31
2016-11-27,44
2016-11-28,60
2016-11-29,85
2016-11-30,82
2016-12-01,80
2016-12-02,53
2016-12-03,32
2016-12-04,43
2016-12-05,70
2016-12-06,77
2016-12-07,85
2016-12-08,73
2016-12-09,63
2016-12-10,33
2016-12-11,28
2016-12-12,70
2016-12-13,62
2016-12-14,67
2016-12-15,59
2016-12-16,55
2016-12-17,27
2016-12-18,25
2016-12-19,48
2016-12-20,41
2016-12-21,48
2016-12-22,34
2016-12-23,27
2016-12-24,15
2016-12-25,14
2016-12-26,35
2016-12-27,33
2016-12-28,33
2016-12-29,31
2016-12-30,30
2016-12-31,19
2017-01-01,20
2017-01-02,42
2017-01-03,54
2017-01-04,61
2017-01-05,65
2017-01-06,68
2017-01-07,26
2017-01-08,43
2017-01-09,74
2017-01-10,84
2017-01-11,89
2017-01-12,75
2017-01-13,87
2017-01-14,38
2017-01-15,39
2017-01-16,64
2017-01-17,77
2017-01-18,75
2017-01-19,82
2017-01-20,69
2017-01-21,37
2017-01-22,50
2017-01-23,65
2017-01-24,91
2017-01-25,85
2017-01-26,80
2017-01-27,63
2017-01-28,34
2017-01-29,48
2017-01-30,98
2017-01-31,78
2017-02-01,86
2017-02-02,82
2017-02-03,73
2017-02-04,33
2017-02-05,38
2017-02-06,66
2017-02-07,84
2017-02-08,85
2017-02-09,77
2017-02-10,53
2017-02-11,23
2017-02-12,45
2017-02-13,78
2017-02-14,76
2017-02-15,81
2017-02-16,82
2017-02-17,74
2017-02-18,30
2017-02-19,53
2017-02-20,63
2017-02-21,91
2017-02-22,88
2017-02-23,81
2017-02-24,56
2017-02-25,50
2017-02-26,58
2017-02-27,80
2017-02-28,71
2017-03-01,77
2017-03-02,77
2017-03-03,74
2017-03-04,36
2017-03-05,51
2017-03-06,79
2017-03-07,93
2017-03-08,85
2017-03-09,91
2017-03-10,67
2017-03-11,35
2017-03-12,51
2017-03-13,81
2017-03-14,78
2017-03-15,75
2017-03-16,72
2017-03-17,62
2017-03-18,32
2017-03-19,45
2017-03-20,82
2017-03-21,88
2017-03-22,79
2017-03-23,77
2017-03-24,58
2017-03-25,38
