High	0.9997784252141066
Low	0.9997964128033454
Open	0.9996185196289691
Volume	-0.5695350851117648
HH	0.9966411607617627
LL	0.9967929147050039
AV	-0.5815401236465263
SMA	0.9976849662272828
SD	0.8525784950000046
WILLR	0.030595893139950106
ATR	0.9121036681020352
DMH	0.08012368248775145
DML	0.12471431185062508
EMA	0.9983480209738878
WMA	0.9962606384552228
BBHIGH	0.9959360229127893
BBLOW	0.9963100965005212
PERBHIGH	-0.2229807466942201
PERBLOW	-0.2229807466942201
TRIMA	0.9948288427698295
RSI	0.07167957372190055
DX	-0.006895476771633875
PDI	0.018706915920062364
NDI	0.018463054362488178
ADX	-0.02711683597830899
ROC	0.1147839461522377
MACD	0.40354408641790357
CCI	0.0482838664067037
